age,mass,luminosity,temperature,gravity,radius,Mv,Mr,Mi,Mj,Mh,Mk,Mll,Mm
0.1,0.01,-4.978,953,4.279,0.12,26.1,21.66,18.92,14.94,14.86,14.69,12.34,11.96
0.1,0.012,-4.332,1335,4.297,0.129,23.53,19.44,16.79,13.2,12.97,12.76,10.9,11.17
0.1,0.015,-4.281,1399,4.424,0.124,23.3,19.24,16.46,13.05,12.82,12.65,10.83,11.15
0.1,0.02,-4.11,1561,4.569,0.122,22.3,18.55,16.08,12.6,12.34,12.17,10.53,10.99
0.1,0.03,-3.668,1979,4.715,0.126,19.96,16.8,14.48,11.52,11.2,10.9,9.82,10.38
0.1,0.04,-3.386,2270,4.797,0.132,18.46,15.63,13.31,10.89,10.52,10.19,9.39,9.84
0.1,0.05,-3.167,2493,4.837,0.141,17.09,14.77,12.53,10.43,10.02,9.71,9.04,9.37
0.1,0.06,-3.008,2648,4.863,0.15,16.08,14.12,12.01,10.1,9.68,9.37,8.78,9.03
0.1,0.07,-2.879,2762,4.874,0.16,15.33,13.59,11.6,9.82,9.39,9.1,8.55,8.75
0.1,0.072,-2.856,2782,4.875,0.162,15.2,13.5,11.53,9.77,9.34,9.05,8.51,8.7
0.1,0.075,-2.821,2809,4.875,0.166,15.01,13.36,11.42,9.69,9.26,8.97,8.44,8.63
0.1,0.08,-2.776,2846,4.88,0.17,14.77,13.18,11.29,9.6,9.16,8.87,8.36,8.53
0.1,0.09,-2.689,2910,4.884,0.18,14.34,12.85,11.03,9.4,8.96,8.68,8.19,8.35
0.1,0.1,-2.617,2960,4.887,0.189,14.02,12.58,10.82,9.24,8.8,8.52,8.05,8.19
0.12,0.0005,-7.526,227,3.032,0.113,43.82,39.25,35.63,29.59,27.43,39.5,20.03,18.03
0.12,0.001,-7.043,295,3.307,0.116,33.54,29.61,26.78,23.06,22.92,30.33,17.71,15.92
0.12,0.002,-6.481,403,3.588,0.119,29.96,25.94,23.13,20.41,20.14,23.91,16.18,14.75
0.12,0.003,-6.183,475,3.753,0.12,28.93,24.74,21.93,19.17,18.88,21.55,15.42,14.09
0.12,0.004,-5.97,537,3.876,0.121,28.29,24,21.19,18.29,18.03,19.95,14.84,13.66
0.12,0.005,-5.781,599,3.974,0.121,27.81,23.44,20.64,17.53,17.32,18.69,14.3,13.31
0.12,0.006,-5.602,665,4.055,0.12,27.48,23.06,20.24,16.94,16.75,17.67,13.85,12.97
0.12,0.007,-5.477,716,4.127,0.12,27.25,22.79,19.97,16.51,16.35,16.95,13.53,12.73
0.12,0.008,-5.326,783,4.188,0.119,26.95,22.46,19.65,16.02,15.9,16.18,13.17,12.48
0.12,0.009,-5.219,835,4.243,0.119,26.71,22.22,19.43,15.67,15.58,15.68,12.92,12.31
0.12,0.01,-5.088,900,4.29,0.119,26.41,21.93,19.16,15.26,15.18,15.09,12.6,12.11
0.12,0.012,-4.432,1273,4.314,0.126,24.05,19.88,17.26,13.45,13.25,13.03,11.11,11.29
0.12,0.015,-4.436,1298,4.45,0.121,24.12,19.95,17.25,13.43,13.27,13.07,11.15,11.34
0.12,0.02,-4.218,1484,4.59,0.119,22.95,19.01,16.31,12.87,12.65,12.51,10.75,11.13
0.12,0.03,-3.764,1905,4.745,0.122,20.43,17.19,14.87,11.75,11.44,11.17,9.98,10.56
0.12,0.04,-3.472,2204,4.831,0.127,18.9,15.94,13.6,11.08,10.72,10.4,9.54,10.03
0.12,0.05,-3.244,2441,4.878,0.135,17.51,15.05,12.78,10.6,10.2,9.89,9.19,9.55
0.12,0.06,-3.083,2606,4.909,0.142,16.44,14.38,12.22,10.26,9.84,9.54,8.93,9.2
0.12,0.07,-2.944,2733,4.921,0.152,15.6,13.81,11.78,9.97,9.54,9.25,8.69,8.91
0.12,0.072,-2.922,2753,4.923,0.153,15.47,13.72,11.71,9.92,9.49,9.2,8.65,8.86
0.12,0.075,-2.886,2783,4.923,0.157,15.27,13.57,11.6,9.84,9.41,9.12,8.58,8.78
0.12,0.08,-2.838,2824,4.929,0.161,15.01,13.38,11.45,9.74,9.3,9.02,8.5,8.68
0.12,0.09,-2.753,2894,4.937,0.169,14.56,13.03,11.2,9.56,9.11,8.83,8.34,8.5
0.12,0.1,-2.673,2949,4.936,0.178,14.19,12.73,10.97,9.38,8.93,8.66,8.18,8.33
0.5,0.0005,-8.415,141,3.097,0.105,56.3,51.03,46.6,37.42,33.07,51.62,23.09,20.59
0.5,0.001,-7.753,203,3.365,0.109,47.57,42.88,38.99,31.61,29.15,43.23,20.93,18.68
0.5,0.002,-7.218,272,3.639,0.112,37.05,33,30.06,25.07,24.62,34.02,18.66,16.58
0.5,0.003,-6.913,322,3.805,0.113,32.02,28.23,25.75,22.05,22.27,29.03,17.52,15.53
0.5,0.004,-6.67,370,3.928,0.114,30.65,26.73,24.16,21.01,21.06,26.45,16.85,15.05
0.5,0.005,-6.496,409,4.027,0.113,29.6,25.57,22.94,20.2,20.11,24.54,16.32,14.67
0.5,0.006,-6.34,449,4.112,0.113,29.16,25.05,22.39,19.64,19.51,23.1,15.92,14.36
0.5,0.007,-6.2,488,4.185,0.112,28.71,24.51,21.8,19.1,18.91,21.68,15.52,14.06
0.5,0.008,-6.08,525,4.249,0.111,28.4,24.14,21.41,18.65,18.46,20.74,15.19,13.83
