#LAM	TRANSMISSION
20.958	0.2928
20.964	0.2924
20.969	0.2919
20.975	0.2915
20.981	0.291
20.987	0.2906
20.993	0.2902
20.998	0.2897
21.004	0.2896
21.01	0.2896
21.016	0.2896
21.022	0.2896
21.027	0.2896
21.033	0.2897
21.039	0.2897
21.045	0.2897
21.051	0.2898
21.056	0.2899
21.062	0.29
21.068	0.2901
21.074	0.2902
21.08	0.2904
21.085	0.2905
21.091	0.2907
21.097	0.2909
21.103	0.2911
21.109	0.2913
21.114	0.2916
21.12	0.2918
21.126	0.2921
21.132	0.2923
21.138	0.2926
21.143	0.2929
21.149	0.2932
21.155	0.2935
21.161	0.2937
21.167	0.294
21.172	0.2943
21.178	0.2946
21.184	0.2949
21.19	0.2952
21.196	0.2955
21.201	0.2958
21.207	0.2961
21.213	0.2964
21.219	0.2967
21.225	0.2969
21.23	0.2972
21.236	0.2975
21.242	0.2978
21.248	0.2981
21.254	0.2983
21.259	0.2986
21.265	0.2989
21.271	0.2992
21.277	0.2994
21.283	0.2997
21.288	0.3
21.294	0.3003
21.3	0.3006
21.306	0.3009
21.312	0.3012
21.317	0.3015
21.323	0.3018
21.329	0.3022
21.335	0.3025
21.341	0.3028
21.346	0.3031
21.352	0.3035
21.358	0.3038
21.364	0.3041
21.37	0.3044
21.375	0.3048
21.381	0.3051
21.387	0.3054
21.393	0.3058
21.399	0.3061
21.404	0.3064
21.41	0.3067
21.416	0.307
21.422	0.3074
21.428	0.3077
21.433	0.308
21.439	0.3083
21.445	0.3086
21.451	0.3088
21.457	0.3091
21.462	0.3094
21.468	0.3097
21.474	0.31
21.48	0.3102
21.486	0.3105
21.491	0.3107
21.497	0.311
21.503	0.3111
21.509	0.3112
21.515	0.3112
21.52	0.3112
21.526	0.3112
21.532	0.3112
21.538	0.3113
21.544	0.3113
21.549	0.3113
21.555	0.3112
21.561	0.3112
21.567	0.3112
21.573	0.3112
21.578	0.3112
21.584	0.3111
21.59	0.3111
21.596	0.311
21.602	0.3109
21.607	0.3109
21.613	0.3108
21.619	0.3107
21.625	0.3106
21.631	0.3105
21.636	0.3104
21.642	0.3103
21.648	0.3102
21.654	0.3101
21.66	0.3101
21.665	0.3099
21.671	0.3098
21.677	0.3097
21.683	0.3096
21.689	0.3095
21.694	0.3095
21.7	0.3094
21.706	0.3093
21.712	0.3092
21.718	0.3092
21.723	0.3091
21.729	0.3091
21.735	0.3091
21.741	0.3091
21.747	0.3091
21.752	0.3091
21.758	0.3091
21.764	0.3092
21.77	0.3092
21.776	0.3093
21.781	0.3094
21.787	0.3095
21.793	0.3096
21.799	0.3097
21.805	0.3098
21.81	0.3099
21.816	0.31
21.822	0.3102
21.828	0.3103
21.834	0.3104
21.839	0.3106
21.845	0.3107
21.851	0.3108
21.857	0.3109
21.863	0.311
21.868	0.3112
21.874	0.3113
21.88	0.3114
21.886	0.3114
21.892	0.3115
21.897	0.3116
21.903	0.3116
21.909	0.3117
21.915	0.3117
21.921	0.3118
21.926	0.3118
21.932	0.3118
21.938	0.3118
21.944	0.3118
21.95	0.3118
21.955	0.3117
21.961	0.3117
21.967	0.3117
21.973	0.3116
21.979	0.3116
21.984	0.3116
21.99	0.3115
21.996	0.3115
22.002	0.3114
22.008	0.3113
22.013	0.3111
22.019	0.311
22.025	0.3109
22.031	0.3107
22.037	0.3106
22.042	0.3105
22.048	0.3103
22.054	0.3102
22.06	0.3101
22.066	0.31
22.071	0.3098
22.077	0.3097
22.083	0.3095
22.089	0.3094
22.095	0.3092
22.1	0.3091
22.106	0.3089
22.112	0.3088
22.118	0.3086
22.124	0.3084
22.129	0.3082
22.135	0.3081
22.141	0.3079
22.147	0.3077
22.153	0.3075
22.158	0.3073
22.164	0.3071
22.17	0.3069
22.176	0.3066
22.182	0.3064
22.187	0.3062
22.193	0.306
22.199	0.3058
22.205	0.3055
22.211	0.3053
22.216	0.3051
22.222	0.3048
22.228	0.3046
22.234	0.3044
22.24	0.3041
22.245	0.3039
22.251	0.3037
22.257	0.3035
22.263	0.3032
22.269	0.303
22.274	0.3028
22.28	0.3026
22.286	0.3024
22.292	0.3022
22.298	0.302
22.303	0.3018
22.309	0.3016
22.315	0.3014
22.321	0.3012
22.327	0.3011
22.332	0.3009
22.338	0.3007
22.344	0.3005
22.35	0.3004
22.356	0.3002
22.361	0.3
22.367	0.2999
22.373	0.2997
22.379	0.2995
22.385	0.2994
22.39	0.2992
22.396	0.2991
22.402	0.2989
22.408	0.2988
22.414	0.2986
22.419	0.2985
22.425	0.2984
22.431	0.2982
22.437	0.2981
22.443	0.298
22.448	0.2978
22.454	0.2977
22.46	0.2976
22.466	0.2975
22.472	0.2974
22.477	0.2972
22.483	0.2971
22.489	0.297
22.495	0.297
22.501	0.2969
22.506	0.2968
22.512	0.2967
22.518	0.2966
22.524	0.2965
22.53	0.2965
22.535	0.2964
22.541	0.2963
22.547	0.2962
22.553	0.2962
22.559	0.2961
22.564	0.2961
22.57	0.296
22.576	0.2959
22.582	0.2958
22.588	0.2958
22.593	0.2957
22.599	0.2956
22.605	0.2955
22.611	0.2954
22.617	0.2953
22.622	0.2951
22.628	0.295
22.634	0.2948
22.64	0.2947
22.646	0.2945
22.651	0.2942
22.657	0.294
22.663	0.2938
22.669	0.2935
22.675	0.2933
22.68	0.293
22.686	0.2926
22.692	0.2922
22.698	0.2919
22.704	0.2915
22.709	0.291
22.715	0.2906
22.721	0.2901
22.727	0.2895
22.733	0.289
22.738	0.2884
22.744	0.2878
22.75	0.2871
22.756	0.2864
22.762	0.2857
22.767	0.2849
22.773	0.2841
22.779	0.2833
22.785	0.2824
22.791	0.2815
22.796	0.2806
22.802	0.2797
22.808	0.2786
22.814	0.2776
22.82	0.2766
22.825	0.2754
22.831	0.2742
22.837	0.2731
22.843	0.2719
22.849	0.2706
22.854	0.2693
22.86	0.268
22.866	0.2666
22.872	0.2652
22.878	0.2639
22.883	0.2624
22.889	0.2609
22.895	0.2594
22.901	0.2578
22.907	0.2562
22.912	0.2546
22.918	0.2529
22.924	0.2512
22.93	0.2495
22.936	0.2477
22.941	0.2459
22.947	0.2441
22.953	0.2422
22.959	0.2404
22.965	0.2384
22.97	0.2364
22.976	0.2344
22.982	0.2324
22.988	0.2303
22.994	0.2282
22.999	0.2261
23.005	0.2239
23.011	0.2216
23.017	0.2194
23.023	0.2171
23.028	0.2147
23.034	0.2123
23.04	0.21
23.046	0.2075
23.052	0.2051
23.057	0.2027
23.063	0.2002
23.069	0.1977
23.075	0.1952
23.081	0.1926
23.086	0.1901
23.092	0.1875
23.098	0.185
23.104	0.1824
23.11	0.1798
23.115	0.1773
23.121	0.1747
23.127	0.1721
23.133	0.1695
23.139	0.167
23.144	0.1644
23.15	0.1618
23.156	0.1593
23.162	0.1568
23.168	0.1543
23.173	0.1518
23.179	0.1493
23.185	0.1468
23.191	0.1444
23.197	0.1419
23.202	0.1395
23.208	0.1372
23.214	0.1348
23.22	0.1324
23.226	0.1301
23.231	0.1279
23.237	0.1256
23.243	0.1233
23.249	0.1211
23.255	0.1189
23.26	0.1168
23.266	0.1146
23.272	0.1125
23.278	0.1104
23.284	0.1083
23.289	0.1063
23.295	0.1043
23.301	0.1023
23.307	0.1003
23.313	0.0984
23.318	0.0964
23.324	0.0945
23.33	0.0926
23.336	0.0908
23.342	0.0889
23.347	0.0871
23.353	0.0854
23.359	0.0836
23.365	0.0818
23.371	0.0801
23.376	0.0784
23.382	0.0768
23.388	0.0751
23.394	0.0735
23.4	0.0719
23.405	0.0704
23.411	0.0688
23.417	0.0673
23.423	0.0658
23.429	0.0643
23.434	0.0629
23.44	0.0615
23.446	0.0601
23.452	0.0588
23.458	0.0574
23.463	0.0561
23.469	0.0549
23.475	0.0536
23.481	0.0524
23.487	0.0513
23.492	0.0501
23.498	0.049
23.504	0.0479
23.51	0.0469
23.516	0.0459
23.521	0.0449
23.527	0.044
23.533	0.0431
23.539	0.0422
23.545	0.0413
23.55	0.0405
23.556	0.0396
23.562	0.0389
23.568	0.0381
23.574	0.0374
23.579	0.0367
23.585	0.036
23.591	0.0353
23.597	0.0346
23.603	0.034
23.608	0.0334
23.614	0.0327
23.62	0.0321
23.626	0.0315
23.632	0.031
23.637	0.0304
23.643	0.0298
23.649	0.0293
23.655	0.0287
23.661	0.0282
23.666	0.0276
23.672	0.0271
23.678	0.0265
23.684	0.026
23.69	0.0255
23.695	0.0249
23.701	0.0244
23.707	0.0239
23.713	0.0233
23.719	0.0228
23.724	0.0223
23.73	0.0217
23.736	0.0212
23.742	0.0207
23.748	0.0202
23.753	0.0196
23.759	0.0191
23.765	0.0186
23.771	0.0182
23.777	0.0177
23.782	0.0172
23.788	0.0167
23.794	0.0163
23.8	0.0158
23.806	0.0154
23.811	0.015
23.817	0.0146
23.823	0.0142
23.829	0.0138
23.835	0.0135
23.84	0.0131
23.846	0.0128
23.852	0.0125
23.858	0.0122
23.864	0.0119
23.869	0.0116
23.875	0.0114
23.881	0.0111
23.887	0.0109
23.893	0.0107
23.898	0.0104
23.904	0.0102
23.91	0.01
23.916	0.0099
23.922	0.0097
23.927	0.0095
23.933	0.0093
23.939	0.0092
23.945	0.009
23.951	0.0089
23.956	0.0087
23.962	0.0086
23.968	0.0085
23.974	0.0083
23.98	0.0082
23.985	0.0081
23.991	0.0079
23.997	0.0078
24.003	0.0077
24.009	0.0076
24.014	0.0074
24.02	0.0073
24.026	0.0072
24.032	0.0071
24.038	0.0069
