# Vega spectrum from Kurucz intensity models, resolution 500
# corrected to 10 pc distance assuming R = 2.5 Rsun
# flux units of erg/s/cm2/micron
Wavelength	Flux
0.818698	1.06170e-05
0.819519	1.05685e-05
0.820340	1.05362e-05
0.821163	1.04958e-05
0.821986	1.04635e-05
0.822810	1.04312e-05
0.823635	1.04069e-05
0.824461	1.03746e-05
0.825287	1.03504e-05
0.826114	1.03423e-05
0.826943	1.03261e-05
0.827772	1.02938e-05
0.828601	1.02615e-05
0.829432	1.02292e-05
0.830264	1.02049e-05
0.831096	1.01807e-05
0.831929	1.01484e-05
0.832763	1.00999e-05
0.833598	1.00514e-05
0.834434	1.00352e-05
0.835270	1.00191e-05
0.836108	9.99484e-06
0.836946	9.96252e-06
0.837785	9.93020e-06
0.838625	9.88980e-06
0.839465	9.85748e-06
0.840307	9.82516e-06
0.841149	9.77668e-06
0.841993	9.74436e-06
0.842837	9.70396e-06
0.843682	9.60700e-06
0.844527	9.51812e-06
0.845374	9.53428e-06
0.846222	9.48580e-06
0.847070	9.41308e-06
0.847919	9.48580e-06
0.848769	9.49388e-06
0.849620	9.24341e-06
0.850472	9.05757e-06
0.851324	9.24341e-06
0.852178	9.44540e-06
0.853032	9.37268e-06
0.853887	8.93637e-06
0.854743	8.60509e-06
0.855600	8.91213e-06
0.856458	9.33228e-06
0.857317	9.46156e-06
0.858176	9.29189e-06
0.859036	8.75053e-06
0.859897	8.20918e-06
0.860760	8.44350e-06
0.861623	9.06565e-06
0.862486	9.42924e-06
0.863351	9.51812e-06
0.864216	9.39692e-06
0.865083	8.92829e-06
0.865950	8.07344e-06
0.866818	7.60399e-06
0.867687	8.18494e-06
0.868557	8.96061e-06
0.869428	9.41308e-06
0.870299	9.59892e-06
0.871172	9.63124e-06
0.872045	9.51004e-06
0.872919	9.17877e-06
0.873794	8.48389e-06
0.874670	7.53532e-06
0.875547	7.26787e-06
0.876425	8.03061e-06
0.877304	8.86365e-06
0.878183	9.34844e-06
0.879064	9.59892e-06
0.879945	9.69588e-06
0.880827	9.69588e-06
0.881710	9.64740e-06
0.882594	9.50196e-06
0.883479	9.22725e-06
0.884364	8.70205e-06
0.885251	7.86255e-06
0.886138	6.99639e-06
