mass,age,luminosity,temperature,gravity,radius,metallicity
0.02902,12.58925412,-6.536,450,5,0.0887,0
0.02919,10.78946722,-6.44,475,5,0.089,0
0.02939,9.141132415,-6.348,500,5,0.0893,0
0.02959,7.816278046,-6.26,525,5,0.0896,0
0.02978,6.776415076,-6.176,550,5,0.0898,0
0.02997,5.929253246,-6.096,575,5,0.0901,0
0.03016,5.236004366,-6.02,600,5,0.0904,0
0.03053,4.111497211,-5.875,650,5,0.091,0
0.03091,3.30369541,-5.741,700,5,0.0915,0
0.03129,2.710191632,-5.616,750,5,0.0921,0
0.03167,2.25943577,-5.499,800,5,0.0926,0
0.03205,1.918668741,-5.388,850,5,0.0932,0
0.03242,1.651961798,-5.284,900,5,0.0937,0
0.0328,1.442115352,-5.185,950,5,0.0943,0
0.0332,1.267651866,-5.091,1000,5,0.0949,0
0.03402,1.002305238,-4.914,1100,5,0.096,0
0.03492,0.809095899,-4.752,1200,5,0.0973,0
0.03592,0.662216504,-4.601,1300,5,0.0987,0
0.03703,0.550807696,-4.459,1400,5,0.1002,0
0.03825,0.465586094,-4.325,1500,5,0.1018,0
0.03951,0.398107171,-4.199,1600,5,0.1035,0
0.04087,0.345939378,-4.079,1700,5,0.1053,0
0.04234,0.304789499,-3.964,1800,5,0.1071,0
0.04398,0.271019163,-3.853,1900,5,0.1092,0
0.04578,0.243781082,-3.747,2000,5,0.1114,0
0.04014,130.6170888,-8.054,200,5.2504,0.0782,0
0.0404,111.1731727,-7.847,225,5.2504,0.0784,0
0.04065,95.4992586,-7.661,250,5.2504,0.0787,0
0.0409,82.4138115,-7.493,275,5.2504,0.0789,0
0.04114,71.12135137,-7.339,300,5.2504,0.0792,0
0.04139,61.51768727,-7.198,325,5.2504,0.0794,0
0.04163,53.33348955,-7.066,350,5.2504,0.0796,0
0.04187,46.23810214,-6.944,375,5.2504,0.0798,0
0.04211,40.17908108,-6.829,400,5.2504,0.0801,0
0.04235,34.9945167,-6.722,425,5.2504,0.0803,0
0.0426,30.4789499,-6.62,450,5.2504,0.0805,0
0.04284,26.6072506,-6.524,475,5.2504,0.0808,0
0.04308,23.28091258,-6.432,500,5.2504,0.081,0
0.04332,20.37042078,-6.345,525,5.2504,0.0812,0
0.04356,17.86487575,-6.262,550,5.2504,0.0814,0
0.04381,15.6675107,-6.182,575,5.2504,0.0817,0
0.04406,13.77209469,-6.105,600,5.2504,0.0819,0
0.04458,10.73989412,-5.961,650,5.2504,0.0824,0
0.04508,8.590135215,-5.828,700,5.2504,0.0829,0
0.04556,7.063175543,-5.703,750,5.2504,0.0833,0
0.04604,5.902010802,-5.587,800,5.2504,0.0837,0
0.04653,5.023425895,-5.477,850,5.2504,0.0842,0
0.04702,4.315190768,-5.373,900,5.2504,0.0846,0
0.04752,3.749730022,-5.274,950,5.2504,0.0851,0
0.04803,3.30369541,-5.181,1000,5.2504,0.0855,0
0.04909,2.612161354,-5.006,1100,5.2504,0.0865,0
0.05023,2.118361135,-4.844,1200,5.2504,0.0875,0
0.0515,1.753880502,-4.695,1300,5.2504,0.0886,0
0.0529,1.465547841,-4.554,1400,5.2504,0.0897,0
0.05443,1.241652308,-4.422,1500,5.2504,0.091,0
0.05605,1.066596121,-4.297,1600,5.2504,0.0924,0
0.05781,0.931107875,-4.178,1700,5.2504,0.0938,0
0.05967,0.82603795,-4.065,1800,5.2504,0.0953,0
0.06174,0.739605275,-3.957,1900,5.2504,0.097,0
0.06399,0.669884609,-3.852,2000,5.2504,0.0987,0
0.0005,0.237684029,-7.705,200,3,0.1169,0.5
0.00053,0.148593564,-7.479,225,3,0.1198,0.5
0.00055,0.097050997,-7.277,250,3,0.1225,0.5
0.00058,0.065463617,-7.092,275,3,0.1253,0.5
0.0006,0.045708819,-6.922,300,3,0.128,0.5
0.00063,0.032062693,-6.764,325,3,0.1308,0.5
0.00066,0.022698649,-6.619,350,3,0.1333,0.5
0.00068,0.016672472,-6.486,375,3,0.1353,0.5
0.00069,0.012705741,-6.364,400,3,0.1368,0.5
0.0007,0.009977001,-6.25,425,3,0.1382,0.5
0.00072,0.008184648,-6.141,450,3,0.1398,0.5
0.00074,0.006807694,-6.038,475,3,0.1413,0.5
0.00075,0.005741165,-5.939,500,3,0.1428,0.5
0.00077,0.004841724,-5.845,525,3,0.1444,0.5
0.00079,0.00414954,-5.755,550,3,0.1459,0.5
0.0008,0.003589219,-5.669,575,3,0.1475,0.5
0.00082,0.003133286,-5.586,600,3,0.149,0.5
0.00085,0.002449063,-5.43,650,3,0.1518,0.5
0.00088,0.00196336,-5.285,700,3,0.1548,0.5
0.00092,0.001633052,-5.149,750,3,0.1577,0.5
0.00095,0.001406048,-5.02,800,3,0.1609,0.5
0.00099,0.001250259,-4.898,850,3,0.164,0.5
0.00102,0.001069055,-4.784,900,3,0.1666,0.5
0.00106,0.000887156,-4.674,950,3,0.1697,0.5
0.00111,0.000749894,-4.567,1000,3,0.1734,0.5
0.0012,0.000555904,-4.365,1100,3,0.1807,0.5
0.00129,0.000414954,-4.185,1200,3,0.1868,0.5
0.00138,0.000328095,-4.015,1300,3,0.1936,0.5
0.00148,0.00027227,-3.856,1400,3,0.2005,0.5
0.0015,0.000183231,-3.732,1500,3,0.2014,0.5
0.00159,0.000142889,-3.594,1600,3,0.2076,0.5
0.00172,0.000119124,-3.453,1700,3,0.2162,0.5
0.00192,0.000114815,-3.306,1800,3,0.2284,0.5
0.00237,0.000130317,-3.122,1900,3,0.2536,0.5
0.00253,0.000102565,-3.005,2000,3,0.2618,0.5
0.00081,0.45708819,-7.752,200,3.2504,0.1107,0.5
0.00084,0.306902199,-7.527,225,3.2504,0.1134,0.5
0.00088,0.213304491,-7.324,250,3.2504,0.116,0.5
0.00092,0.152405275,-7.14,275,3.2504,0.1185,0.5
0.00096,0.111173173,-6.971,300,3.2504,0.121,0.5
0.001,0.080352612,-6.814,325,3.2504,0.1235,0.5
0.00104,0.056104798,-6.669,350,3.2504,0.1258,0.5
0.00107,0.041209752,-6.537,375,3.2504,0.1276,0.5
0.00109,0.03250873,-6.415,400,3.2504,0.129,0.5
0.00111,0.026853444,-6.302,425,3.2504,0.1302,0.5
0.00113,0.022284351,-6.195,450,3.2504,0.1314,0.5
0.00116,0.018620871,-6.092,475,3.2504,0.1327,0.5
0.00118,0.015667511,-5.995,500,3.2504,0.134,0.5
