#
# Generated by G. Mace, Wed Jul 25 15:03:13 2012
#
#=========================================
# Wavelength  Flux Density         Error
#(vacuum um)  (norm f_lam)  (norm f_lam)
#=========================================
   1.9896955    9.4428E-01    2.4340E-02
   1.9931008    1.0425E+00    3.7016E-02
   1.9965012    9.2325E-01    6.3858E-02
   1.9998970    8.8562E-01    8.4322E-02
   2.0032880    9.0838E-01    8.1406E-02
   2.0066745    8.5771E-01    5.8853E-02
   2.0100563    9.0454E-01    4.4094E-02
   2.0134335    9.2678E-01    4.0535E-02
   2.0168061    1.0174E+00    3.4146E-02
   2.0201740    9.8261E-01    3.5338E-02
   2.0235374    1.0165E+00    3.6950E-02
   2.0268962    1.0121E+00    3.6892E-02
   2.0302503    1.0267E+00    3.6070E-02
   2.0336001    1.0651E+00    3.4018E-02
   2.0369451    1.1365E+00    3.8336E-02
   2.0402856    1.1314E+00    3.7623E-02
   2.0436215    1.1529E+00    3.8990E-02
   2.0469530    1.1550E+00    3.4594E-02
   2.0502799    1.1389E+00    4.0263E-02
   2.0536022    1.2268E+00    4.4193E-02
   2.0569201    1.1351E+00    4.0204E-02
   2.0602334    1.2635E+00    3.4378E-02
   2.0635421    1.2034E+00    2.6023E-02
   2.0668464    1.2579E+00    3.0423E-02
   2.0701463    1.1947E+00    3.1841E-02
   2.0734415    1.2382E+00    3.0285E-02
   2.0767322    1.2169E+00    2.6729E-02
   2.0800185    1.2189E+00    2.3347E-02
   2.0833001    1.2357E+00    2.4829E-02
   2.0865772    1.3036E+00    2.7106E-02
   2.0898499    1.2088E+00    2.5750E-02
   2.0931180    1.3126E+00    2.3496E-02
   2.0963817    1.2833E+00    2.1144E-02
   2.0996408    1.2786E+00    2.2194E-02
   2.1028953    1.2890E+00    2.4588E-02
   2.1061454    1.2741E+00    2.7773E-02
   2.1093907    1.3121E+00    2.8064E-02
   2.1126316    1.3314E+00    2.9032E-02
   2.1158679    1.2460E+00    2.7648E-02
   2.1190996    1.3192E+00    2.8698E-02
   2.1223269    1.2971E+00    2.8230E-02
   2.1255496    1.3503E+00    2.7382E-02
   2.1287675    1.3143E+00    2.6064E-02
   2.1319809    1.3283E+00    2.3422E-02
   2.1351895    1.3082E+00    2.2179E-02
   2.1383936    1.3571E+00    2.0581E-02
   2.1415932    1.3145E+00    2.0293E-02
   2.1447880    1.3202E+00    2.6389E-02
   2.1479783    1.2996E+00    3.3470E-02
   2.1511638    1.3352E+00    3.6037E-02
   2.1543446    1.3111E+00    3.4367E-02
   2.1575208    1.2929E+00    2.7890E-02
   2.1606922    1.3272E+00    2.3880E-02
   2.1638589    1.3825E+00    2.3329E-02
   2.1670208    1.3342E+00    2.4350E-02
   2.1701779    1.3246E+00    2.4226E-02
   2.1733303    1.3310E+00    2.6016E-02
   2.1764781    1.3434E+00    3.0752E-02
   2.1796210    1.3107E+00    2.9835E-02
   2.1827588    1.3498E+00    3.1135E-02
   2.1858921    1.2960E+00    2.7170E-02
   2.1890204    1.3190E+00    2.7481E-02
   2.1921439    1.3029E+00    3.1368E-02
   2.1952624    1.2372E+00    3.1934E-02
   2.1983762    1.2155E+00    3.2296E-02
   2.2014849    1.2415E+00    2.9364E-02
   2.2045889    1.2244E+00    2.6915E-02
   2.2076876    1.2321E+00    2.9932E-02
   2.2107816    1.2744E+00    3.0897E-02
   2.2138708    1.2907E+00    2.9996E-02
   2.2169547    1.2180E+00    2.7719E-02
   2.2200336    1.1990E+00    2.4826E-02
   2.2231076    1.2247E+00    2.5418E-02
   2.2261765    1.2488E+00    2.8036E-02
   2.2292404    1.2663E+00    2.9891E-02
   2.2322993    1.3055E+00    2.9323E-02
   2.2353530    1.2008E+00    2.7776E-02
   2.2384019    1.1770E+00    2.4633E-02
   2.2414453    1.2162E+00    2.4597E-02
   2.2444839    1.2050E+00    2.5247E-02
   2.2475171    1.1974E+00    2.6758E-02
   2.2505455    1.1993E+00    2.7358E-02
   2.2535684    1.1674E+00    2.6917E-02
   2.2565863    1.2067E+00    2.6151E-02
   2.2595992    1.1638E+00    2.4856E-02
   2.2626069    1.1625E+00    2.5108E-02
   2.2656093    1.1606E+00    2.5828E-02
   2.2686064    1.1352E+00    2.6430E-02
