#
# Generated by G. Mace, Thu Mar  1 20:10:26 2012
#
#=========================================
# Wavelength  Flux Density         Error
#(vacuum um)  (norm f_lam)  (norm f_lam)
#=========================================
   1.9884636    4.3493E-02    6.5405E-03
   1.9918705    5.8351E-02    6.3295E-03
   1.9952726    6.5357E-02    8.0460E-03
   1.9986701    8.9815E-02    1.2742E-02
   2.0020628    7.5306E-02    1.8241E-02
   2.0054510    8.6406E-02    2.1925E-02
   2.0088346    6.1890E-02    1.7589E-02
   2.0122135    7.7347E-02    1.3278E-02
   2.0155876    1.1320E-01    1.2655E-02
   2.0189571    9.0519E-02    1.1441E-02
   2.0223222    9.5728E-02    1.0646E-02
   2.0256827    9.6335E-02    1.0853E-02
   2.0290384    1.0254E-01    1.0332E-02
   2.0323899    1.0936E-01    1.0219E-02
   2.0357366    1.1364E-01    9.2300E-03
   2.0390787    1.2432E-01    1.0510E-02
   2.0424163    1.0676E-01    1.0215E-02
   2.0457494    1.3458E-01    1.0353E-02
   2.0490780    1.3153E-01    9.3122E-03
   2.0524018    1.5124E-01    1.0829E-02
   2.0557213    1.5487E-01    1.2259E-02
   2.0590363    1.4770E-01    1.1629E-02
   2.0623467    1.3851E-01    1.0146E-02
   2.0656526    1.4990E-01    8.1337E-03
   2.0689540    1.5767E-01    8.9708E-03
   2.0722508    1.5839E-01    9.4638E-03
   2.0755432    1.7815E-01    8.8909E-03
   2.0788312    1.4716E-01    8.1087E-03
   2.0821145    1.5344E-01    6.9979E-03
   2.0853932    1.6416E-01    7.4059E-03
   2.0886676    1.7157E-01    7.8074E-03
   2.0919373    1.6756E-01    7.6855E-03
   2.0952024    1.5722E-01    7.1007E-03
   2.0984633    1.5439E-01    6.5765E-03
   2.1017194    1.5825E-01    6.5685E-03
   2.1049712    1.5424E-01    7.2951E-03
   2.1082182    1.6106E-01    8.0676E-03
   2.1114607    1.4729E-01    8.2757E-03
   2.1146986    1.5925E-01    8.4859E-03
   2.1179321    1.5165E-01    8.3226E-03
   2.1211610    1.2926E-01    8.4537E-03
   2.1243851    1.2878E-01    8.5032E-03
   2.1276047    1.2894E-01    8.1156E-03
   2.1308198    1.1866E-01    7.9147E-03
   2.1340303    1.3209E-01    7.2075E-03
   2.1372361    1.2610E-01    6.9410E-03
   2.1404374    1.2158E-01    6.4991E-03
   2.1436338    1.1505E-01    6.3404E-03
   2.1468258    1.3410E-01    7.6802E-03
   2.1500130    1.0699E-01    9.8911E-03
   2.1531954    9.6701E-02    1.0725E-02
   2.1563733    1.0255E-01    1.0484E-02
   2.1595464    8.6790E-02    8.4794E-03
   2.1627147    9.6144E-02    7.1993E-03
   2.1658785    1.0059E-01    7.0422E-03
   2.1690373    9.7045E-02    7.5352E-03
   2.1721916    8.0824E-02    7.6127E-03
   2.1753409    7.8905E-02    7.8265E-03
   2.1784854    8.1087E-02    9.0017E-03
   2.1816251    8.0622E-02    9.1112E-03
   2.1847601    3.6999E-02    9.4980E-03
   2.1878903    6.3056E-02    8.7088E-03
   2.1910155    4.5283E-02    8.2257E-03
   2.1941359    2.6931E-02    9.6248E-03
   2.1972513    2.7887E-02    9.7965E-03
   2.2003617    1.1390E-02    9.9104E-03
   2.2034674    2.1791E-02    9.2331E-03
   2.2065682    5.7609E-03    8.5855E-03
   2.2096639    6.7043E-03    9.1609E-03
   2.2127547    2.0945E-02    9.6838E-03
   2.2158406    1.9668E-02    9.2736E-03
   2.2189214    1.3261E-02    8.9089E-03
   2.2219970    7.1446E-03    8.2452E-03
   2.2250679    1.4534E-02    8.1701E-03
   2.2281337    9.4933E-03    8.6464E-03
   2.2311943    3.3392E-03    9.4417E-03
   2.2342498    1.8275E-02    9.2823E-03
   2.2373004    2.7906E-02    9.0428E-03
   2.2403460    1.0419E-02    8.0695E-03
   2.2433863    1.3100E-02    8.0605E-03
   2.2464213   -2.7469E-03    8.2309E-03
   2.2494514    5.5464E-03    8.6528E-03
   2.2524765   -1.0864E-04    8.8732E-03
   2.2554963    5.6013E-03    8.7642E-03
   2.2585108    1.0339E-02    8.5678E-03
   2.2615201    8.0865E-03    8.4309E-03
   2.2645245   -7.0059E-03    8.5660E-03
   2.2675235    1.2048E-02    8.8083E-03
   2.2705176    2.6689E-02    8.9940E-03
   2.2735064   -7.4447E-03    9.3196E-03
   2.2764897    4.6918E-03    9.2650E-03
   2.2794681    1.9170E-02    9.2100E-03
   2.2824414    3.7066E-03    9.0180E-03
   2.2854092    4.6634E-03    9.0387E-03
   2.2883720    2.6747E-03    9.1187E-03
   2.2913296    1.2820E-02    9.2820E-03
   2.2942820    3.1400E-03    9.6280E-03
   2.2972291    1.6734E-02    9.8925E-03
   2.3001711    1.3528E-02    1.0033E-02
   2.3031080    1.5912E-02    9.9993E-03
   2.3060396    9.6451E-03    9.8278E-03
   2.3089662    8.2573E-03    9.6619E-03
