#
# Generated by G. Mace, Wed Mar 14 15:43:42 2012
#
#=========================================
# Wavelength  Flux Density         Error
#(vacuum um)  (norm f_lam)  (norm f_lam)
#=========================================
   2.4563138   -1.4154E-02    5.3666E-02
   2.4590604    5.3721E-02    5.1290E-02
   2.4618068    1.0528E-01    5.2821E-02
   2.4645531    9.1867E-02    5.7220E-02
   2.4672999    8.0858E-02    6.2106E-02
   2.4700472    2.8183E-02    7.3805E-02
   2.4727952    1.2945E-01    7.5312E-02
   2.4755442    1.9292E-02    7.6567E-02
   2.4782946   -1.3663E-01    8.1578E-02
   2.4810462   -3.8391E-02    9.6402E-02
   2.4837997    2.0395E-02    1.1488E-01
   2.4865551   -9.8266E-02    1.2427E-01
   2.4893129   -3.1296E-02    1.3018E-01
   2.4920731   -7.8695E-04    1.3828E-01
   2.4948361    9.0885E-02    1.2117E-01
   2.4976020    2.5561E-01    1.0614E-01
   2.5003715    1.1807E-01    1.0575E-01
   2.5031445    6.5778E-02    1.2248E-01
   2.5059216   -6.4228E-02    1.3548E-01
   2.5087030   -2.6950E-01    1.5481E-01
   2.5114889   -9.4286E-02    1.7695E-01
   2.5142798    1.3135E-01    2.5067E-01
   2.5170760    7.9929E-02    2.6678E-01
   2.5198779    1.9757E-01    2.4081E-01
   2.5226855   -1.1470E-01    2.4332E-01
   2.5254998    4.2769E-01    3.0370E-01
   2.5283208    4.6557E-02    4.6395E-01
   2.5311489   -3.5444E-02    7.0203E-01
   2.5339844   -9.0253E-01    8.6848E-01
   2.5368280   -4.8643E-01    8.2088E-01
   2.5396798    3.6188E-01    6.9631E-01
   2.5425403    4.5250E-01    9.2876E-01
   2.5454102   -1.4402E+00    1.3899E+00
   2.5482895    3.2723E+00    2.4378E+00
   2.5511789    1.6654E-01    2.9388E+00
   2.5540791   -1.5965E+00    1.9095E+00
