# SpeX prism spectrum of 2101+1756 obtained 2005 Sep 07 by Adam J. Burgasser
# Spectrum in f_lambda arbitrarily normalized
# 
# THIS SPECTRUM MAY NOT BE USED OR REPRODUCED WITHOUT EXPRESS PERMISSION FROM A. BURGASSER
# 
# Wavelength (um)    Flux (f_lambda)    Noise (f_lambda)
# -------------------------------------------------------------------------
      1.99949    2.07966e-17    1.84941e-18
      2.00289    2.41202e-17    4.73265e-19
      2.00627    2.98608e-17    2.29304e-18
      2.00966    2.38847e-17    1.46056e-18
      2.01303    2.82037e-17    2.36621e-18
      2.01641    2.49149e-17    1.61295e-18
      2.01977    2.72599e-17    2.22568e-18
      2.02314    2.46863e-17    1.99799e-18
      2.02650    2.66340e-17    7.55520e-19
      2.02985    2.82445e-17    1.21646e-18
      2.03320    2.94267e-17    1.26793e-18
      2.03655    2.76877e-17    1.10813e-18
      2.03989    3.00469e-17    8.23594e-19
      2.04323    2.74220e-17    1.50547e-18
      2.04656    2.80370e-17    1.99317e-18
      2.04989    3.05242e-17    1.00267e-18
      2.05321    2.98928e-17    4.02078e-19
      2.05653    2.89976e-17    1.07141e-18
      2.05984    3.08884e-17    6.07532e-19
      2.06315    3.15224e-17    1.78973e-18
      2.06645    3.04572e-17    1.27176e-18
      2.06975    3.34883e-17    1.13835e-18
      2.07305    2.93566e-17    5.47338e-19
      2.07634    2.98877e-17    1.10078e-18
      2.07963    3.04048e-17    1.31474e-18
      2.08291    3.22396e-17    6.97456e-19
      2.08619    3.25052e-17    4.06031e-19
      2.08946    3.34359e-17    1.54980e-18
      2.09273    3.27224e-17    6.20198e-19
      2.09599    3.28533e-17    4.44231e-19
      2.09925    3.31124e-17    8.55371e-19
      2.10251    3.40387e-17    6.01032e-19
      2.10576    3.48741e-17    1.11988e-18
      2.10901    3.21902e-17    1.16162e-18
      2.11225    3.25874e-17    9.07949e-19
      2.11548    3.33143e-17    6.60143e-19
      2.11872    3.29565e-17    8.56560e-19
      2.12194    3.32401e-17    6.44166e-19
