# SpeX prism spectrum of denis2252-1730 obtained 10 Aug 2005 by Adam J Burgasser
# Spectrum in F_lambda normalized to prism observations
# Contact A. Burgasser for use or reproduction of this spectrum
# Wavelength (um)    Flux (normalized F_lambda)    S/N
# -------------------------------------------------------------------------
      1.37051    2.31700e-16    7.28479e-18
      1.37480    2.36773e-16    6.43050e-18
      1.37909    2.46687e-16    6.01160e-18
      1.38338    2.57565e-16    2.95287e-18
      1.38767    2.50917e-16    9.68288e-18
      1.39195    2.37884e-16    5.61007e-18
      1.39623    2.09371e-16    2.86381e-18
      1.40051    2.25800e-16    3.67569e-18
      1.40478    2.09079e-16    1.68547e-18
      1.40905    2.12525e-16    3.80405e-18
      1.41331    2.08740e-16    2.79942e-18
      1.41758    2.05970e-16    3.90801e-18
      1.42184    2.05424e-16    2.06555e-18
      1.42609    2.02367e-16    1.80807e-18
      1.43034    1.99714e-16    3.08697e-18
      1.43459    2.04890e-16    2.09879e-18
      1.43883    2.12893e-16    2.18217e-18
      1.44307    2.12369e-16    1.57964e-18
      1.44730    2.20616e-16    6.80815e-19
      1.45153    2.33914e-16    1.02698e-18
      1.45576    2.37187e-16    3.50463e-18
      1.45998    2.40728e-16    3.36165e-18
      1.46420    2.49004e-16    1.99471e-18
      1.46841    2.46939e-16    1.94495e-18
      1.47262    2.48610e-16    2.04796e-18
      1.47682    2.57100e-16    1.10752e-18
      1.48101    2.60473e-16    1.06492e-18
      1.48521    2.65611e-16    1.50176e-18
      1.48939    2.70317e-16    2.46223e-18
      1.49358    2.79265e-16    1.85236e-18
      1.49775    2.87394e-16    1.09228e-18
      1.50192    2.98648e-16    3.07821e-18
      1.50609    3.06638e-16    2.64053e-18
      1.51025    3.14586e-16    1.69737e-18
      1.51440    3.18651e-16    3.49597e-18
      1.51855    3.28662e-16    1.60760e-18
      1.52270    3.36368e-16    9.93729e-19
      1.52683    3.45410e-16    3.07011e-18
      1.53097    3.55435e-16    5.80920e-18
      1.53509    3.59505e-16    2.14831e-18
      1.53921    3.67172e-16    2.06456e-18
      1.54333    3.83215e-16    1.69305e-18
      1.54744    3.89716e-16    1.74904e-18
      1.55154    3.96409e-16    1.99018e-18
      1.55564    3.96798e-16    3.14985e-18
      1.55973    4.07183e-16    2.82806e-18
      1.56381    4.10904e-16    2.93761e-18
      1.56789    4.18160e-16    1.75058e-18
      1.57196    4.25665e-16    9.38862e-19
      1.57603    4.37323e-16    1.67888e-18
      1.58009    4.39572e-16    1.66800e-18
      1.58414    4.31950e-16    4.08525e-18
      1.58819    4.25765e-16    2.69001e-18
      1.59223    4.36888e-16    1.73804e-18
      1.59627    4.38833e-16    1.68729e-18
      1.60030    4.39244e-16    9.26587e-19
      1.60432    4.30195e-16    3.09631e-18
      1.60834    4.26131e-16    1.26471e-18
      1.61234    4.11045e-16    2.00407e-18
      1.61635    4.18420e-16    1.15314e-18
