# sdss 03:51:05.90 48:10:48.6 T1 +/- 1.5 Chiu et al. 2006
# IRTF Spex 2005-01-21
#XAXIS   = 'Wavelength'         /                                                
#YAXIS   = 'Flux    '           /                                                
#XUNITS  = 'Microns '           /                                                
#YUNITS  = 'W m-2 um-1'         /                                                
      2.52973    9.64195e-16    6.41182e-16
      2.53259   -1.04071e-16    1.89242e-16
      2.53546   -1.35282e-15    3.66268e-16
      2.53833   -1.06714e-15    1.00900e-15
      2.54122   -4.87024e-17    7.67135e-16
      2.54412   -7.70681e-16    9.93222e-16
      2.54702    1.19423e-15    2.37276e-16
      2.54995   -1.33585e-15    5.17628e-15
      2.55288    1.13507e-15    2.74014e-16
      2.55583    2.11940e-16    1.95769e-15
      2.55879    2.06005e-15    2.96187e-16
      2.56176    3.26907e-16    2.80706e-16
      2.56475            NaN            NaN
