# sdss 13:58:52.84 37:47:09.4  T4.5+/-1 Chiu et al. 2006
# IRTF Spex 2005-04-08
#XUNITS  = 'Microns '           /
#YUNITS  = 'W m-2 um-1'         /
# fluxed by UFTI JHK, good match after
# revising K photometry
#
2.14764 1.4992848e-16 1.41363e-17
2.15082 1.3383864e-16 7.96308e-19
2.154 1.4648088e-16 7.82466e-18
2.15718 1.495052e-16 1.12392e-17
2.16035 1.2442248e-16 1.47107e-17
2.16352 1.2349584e-16 2.79296e-17
2.16668 1.2891736e-16 1.09876e-17
2.16984 1.1539112e-16 2.6458e-17
2.17299 1.3361608e-16 2.79163e-17
2.17614 1.0967528e-16 4.38688e-18
2.17928 1.21316e-16 9.49506e-18
2.18242 1.1406512e-16 3.86208e-19
2.18556 1.0891296e-16 2.19455e-17
2.18868 9.79784e-17 1.93966e-17
2.19181 8.420984e-17 4.40336e-18
2.19493 8.0019368e-17 7.92992e-18
2.19804 6.3464544e-17 1.79739e-17
2.20115 4.4269056e-17 1.02911e-17
2.20426 4.4973552e-17 9.34447e-19
2.20735 2.9121456e-17 6.05893e-18
2.21045 3.5875112e-17 4.06162e-18
2.21354 5.0759592e-17 1.31232e-17
2.21662 5.6557904e-17 1.14066e-17
2.2197 5.7199376e-17 3.63661e-18
2.22278 5.0468184e-17 2.39863e-18
2.22585 5.7408312e-17 2.53391e-17
2.22891 7.0893784e-17 5.69201e-18
2.23197 4.9871016e-17 1.06497e-17
2.23502 4.9629112e-17 2.90873e-18
2.23807 4.4354336e-17 6.81771e-18
2.24112 2.5155728e-17 1.10169e-17
2.24416 3.93302e-17 5.174e-18
2.24719 4.0975376e-17 3.33402e-18
2.25022 2.7488032e-17 7.601e-18
2.25324 4.577352e-17 2.29591e-17
2.25626 2.5441312e-17 1.44351e-17
2.25928 2.4468912e-17 5.91537e-18
2.26228 3.124628e-17 6.30163e-19
2.26529 3.5838088e-17 1.45378e-17
2.26828 4.7893248e-18 1.64882e-18
2.27128 4.4078112e-17 5.35093e-18
2.27426 5.2360568e-17 1.26286e-18
2.27725 4.0101672e-17 1.77418e-18
2.28022 2.4362416e-17 1.95104e-17
2.2832 2.7612104e-17 1.63725e-18
2.28616 1.70872e-17 5.29986e-18
2.28912 1.7614584e-17 7.49469e-18
2.29208 2.083172e-17 2.88518e-18
2.29503 2.4244168e-17 1.01123e-17
2.29798 3.596684e-17 8.94536e-18
2.30092 2.0051304e-17 7.41932e-18
2.30385 3.0787848e-17 1.35047e-17
2.30678 3.5857536e-17 2.40273e-17
2.30971 3.6571808e-17 6.87869e-19
2.31263 3.9643864e-17 5.73734e-18
2.31554 2.1511464e-17 5.58887e-18
2.31845 2.6711568e-17 1.48326e-17
2.32136 2.1134672e-17 7.5882e-18
2.32426 2.9442192e-17 9.20751e-18
