mass,age,temperature,luminosity,radius,gravity,metallicity,chemistry,eos
0.004,2.42446202,252.6957589,-7.37300704,0.10757741,3.97703208,0,eq,SVCH
0.004,3.07029063,241.7884534,-7.45723461,0.10664524,3.98459125,0,eq,SVCH
0.004,3.88815518,230.7567209,-7.54619489,0.10568652,3.99243505,0,eq,SVCH
0.004,4.92388263,218.5955115,-7.64815748,0.1047303,4.00032951,0,eq,SVCH
0.004,6.23550734,205.4212181,-7.76386586,0.1038021,4.00806193,0,eq,SVCH
0.005,0.001,1874.94033,-3.31429282,0.20907549,3.49678041,0,eq,SVCH
0.005,0.00126638,1823.082437,-3.40965453,0.19814656,3.54341292,0,eq,SVCH
0.005,0.001603719,1732.649011,-3.54175716,0.18841944,3.58713518,0,eq,SVCH
0.005,0.002030918,1653.707552,-3.66153203,0.18019689,3.62588996,0,eq,SVCH
0.005,0.002571914,1581.352426,-3.77570432,0.17278829,3.66235643,0,eq,SVCH
0.005,0.003257021,1506.66497,-3.89364359,0.1661763,3.69624811,0,eq,SVCH
0.005,0.004124626,1422.198477,-4.02496901,0.16033217,3.72734452,0,eq,SVCH
0.005,0.005223345,1344.410409,-4.15085117,0.15521966,3.75549284,0,eq,SVCH
0.005,0.006614741,1271.094226,-4.27423842,0.15064727,3.78146367,0,eq,SVCH
0.005,0.008376776,1198.574805,-4.40034648,0.14652782,3.80554409,0,eq,SVCH
0.005,0.010608184,1129.788889,-4.52517763,0.1428394,3.8276893,0,eq,SVCH
0.005,0.013433993,1064.712601,-4.64865542,0.1395213,3.84810416,0,eq,SVCH
0.005,0.017012543,1001.46601,-4.77400967,0.13650331,3.8670979,0,eq,SVCH
0.005,0.021544347,941.190945,-4.89948911,0.13376475,3.88470161,0,eq,SVCH
0.005,0.027283334,881.0910717,-5.03028231,0.13129796,3.90086927,0,eq,SVCH
0.005,0.034551073,823.2922722,-5.1629272,0.1290814,3.91565771,0,eq,SVCH
0.005,0.043754794,769.5627957,-5.29369823,0.12708236,3.92921388,0,eq,SVCH
0.005,0.055410203,718.4598103,-5.42562456,0.12526303,3.94173911,0,eq,SVCH
0.005,0.070170383,669.108418,-5.56072012,0.12361675,3.95322991,0,eq,SVCH
0.005,0.088862382,622.0951387,-5.69772935,0.12213416,3.96370992,0,eq,SVCH
0.005,0.112533558,582.7535638,-5.82086911,0.12078923,3.97332809,0,eq,SVCH
0.005,0.142510267,548.6166819,-5.93501931,0.11950639,3.98260231,0,eq,SVCH
0.005,0.180472177,512.9523564,-6.06059529,0.1182997,3.99141705,0,eq,SVCH
0.005,0.228546386,479.9092158,-6.18450356,0.11718015,3.99967624,0,eq,SVCH
0.005,0.289426612,448.7881059,-6.30877826,0.11613404,4.00746525,0,eq,SVCH
0.005,0.366524124,422.1164768,-6.4226425,0.11514582,4.01488793,0,eq,SVCH
0.005,0.464158883,396.5916143,-6.53808644,0.11420801,4.02199123,0,eq,SVCH
0.005,0.587801607,374.981146,-6.64237532,0.1132962,4.02895354,0,eq,SVCH
0.005,0.744380301,352.8999869,-6.7546044,0.11241506,4.0357353,0,eq,SVCH
0.005,0.942668455,338.7886798,-6.83226186,0.11154273,4.04250184,0,eq,SVCH
0.005,1.19377664,324.5959426,-6.91367482,0.11063508,4.04959861,0,eq,SVCH
0.005,1.51177507,309.1967921,-7.00543183,0.10970952,4.05689568,0,eq,SVCH
0.005,1.91448198,293.9909054,-7.10036362,0.10878541,4.06424293,0,eq,SVCH
0.005,2.42446202,279.3324333,-7.19661702,0.1078615,4.07165132,0,eq,SVCH
0.005,3.07029063,263.7708859,-7.303577,0.10695127,4.07901237,0,eq,SVCH
0.005,3.88815518,248.5138542,-7.41424293,0.10607168,4.08618538,0,eq,SVCH
0.005,4.92388263,238.2851568,-7.49457082,0.10518458,4.09348004,0,eq,SVCH
0.005,6.23550734,226.8011041,-7.5878431,0.10428173,4.10096776,0,eq,SVCH
0.005,7.89652287,214.1769131,-7.69478927,0.10339084,4.1084201,0,eq,SVCH
0.005,10,200.3453148,-7.81796642,0.10253812,4.11561357,0,eq,SVCH
0.006,0.001,2009.366672,-3.14854462,0.22031339,3.53048641,0,eq,SVCH
0.006,0.00126638,1942.970695,-3.25648932,0.20808552,3.58008233,0,eq,SVCH
0.006,0.001603719,1879.278976,-3.36090132,0.19723636,3.626593,0,eq,SVCH
0.006,0.002030918,1820.374972,-3.46086012,0.1873592,3.67121782,0,eq,SVCH
0.006,0.002571914,1728.579085,-3.59230062,0.178606,3.71277576,0,eq,SVCH
0.006,0.003257021,1646.773707,-3.71375371,0.17111156,3.75000892,0,eq,SVCH
0.006,0.004124626,1570.933794,-3.83029925,0.16442331,3.78464058,0,eq,SVCH
0.006,0.005223345,1495.210783,-3.94848063,0.15841106,3.81699666,0,eq,SVCH
0.006,0.006614741,1400.912555,-4.09083825,0.15317541,3.84618847,0,eq,SVCH
0.006,0.008376776,1325.303246,-4.21362992,0.14858762,3.87260147,0,eq,SVCH
0.006,0.010608184,1249.695077,-4.34007745,0.14447007,3.89701021,0,eq,SVCH
0.006,0.013433993,1175.611293,-4.46857909,0.14080539,3.91932848,0,eq,SVCH
0.006,0.017012543,1104.988931,-4.59670162,0.13752311,3.93981561,0,eq,SVCH
0.006,0.021544347,1040.908902,-4.71943573,0.13455279,3.95878129,0,eq,SVCH
0.006,0.027283334,977.1279327,-4.84686961,0.13185682,3.9763611,0,eq,SVCH
0.006,0.034551073,915.9228864,-4.97545024,0.12941679,3.99258439,0,eq,SVCH
0.006,0.043754794,855.6732846,-5.10847951,0.12722758,4.0074035,0,eq,SVCH
0.006,0.055410203,796.53333,-5.2463855,0.12526662,4.02089552,0,eq,SVCH
0.006,0.070170383,744.3154514,-5.37656452,0.12348886,4.03331013,0,eq,SVCH
0.006,0.088862382,693.2740637,-5.51136303,0.1218849,4.04466625,0,eq,SVCH
0.006,0.112533558,645.9713721,-5.64456752,0.12042922,4.05510218,0,eq,SVCH
0.006,0.142510267,601.049708,-5.77931643,0.11911222,4.06465301,0,eq,SVCH
0.006,0.180472177,565.6259092,-5.89384011,0.11788206,4.07367006,0,eq,SVCH
0.006,0.228546386,530.3043104,-6.01448189,0.11671847,4.0822865,0,eq,SVCH
0.006,0.289426612,495.5358374,-6.14041225,0.11563012,4.09042361,0,eq,SVCH
0.006,0.366524124,463.6992804,-6.26343903,0.11461483,4.09808386,0,eq,SVCH
0.006,0.464158883,435.1598591,-6.38099488,0.11366535,4.10530942,0,eq,SVCH
0.006,0.587801607,408.5358472,-6.4976405,0.11275911,4.1122623,0,eq,SVCH
0.006,0.744380301,385.3901102,-6.6056491,0.1118923,4.11896515,0,eq,SVCH
0.006,0.942668455,363.3680265,-6.71445541,0.11104797,4.12554437,0,eq,SVCH
0.006,1.19377664,344.8911976,-6.8115093,0.11023073,4.13196019,0,eq,SVCH
0.006,1.51177507,331.1105341,-6.88901648,0.10938701,4.13863401,0,eq,SVCH
0.006,1.91448198,316.0250092,-6.97697177,0.10851777,4.14556376,0,eq,SVCH
0.006,2.42446202,299.7791582,-7.07567739,0.10764322,4.15259217,0,eq,SVCH
0.006,3.07029063,285.5885317,-7.16696108,0.10677246,4.15964697,0,eq,SVCH
0.006,3.88815518,270.3750577,-7.26914931,0.10590428,4.16673849,0,eq,SVCH
0.006,4.92388263,254.1583068,-7.38357938,0.10505801,4.17370711,0,eq,SVCH
0.006,6.23550734,242.5779162,-7.47143591,0.10423363,4.18054974,0,eq,SVCH
0.006,7.89652287,231.5724128,-7.55917443,0.10338801,4.18762514,0,eq,SVCH
0.006,10,219.3008033,-7.66090095,0.10254034,4.19477595,0,eq,SVCH
0.007,0.001,2116.879055,-3.01454037,0.23161229,3.5539917,0,eq,SVCH
0.007,0.00126638,2061.12409,-3.11380327,0.21792837,3.60688747,0,eq,SVCH
0.007,0.001603719,2000.888065,-3.21573235,0.2056458,3.65727414,0,eq,SVCH
0.007,0.002030918,1929.370764,-3.32639207,0.19471697,3.704707,0,eq,SVCH
0.007,0.002571914,1862.915994,-3.43174779,0.18499247,3.74920488,0,eq,SVCH
0.007,0.003257021,1792.24614,-3.54124167,0.17620445,3.79147952,0,eq,SVCH
0.007,0.004124626,1695.096502,-3.67647753,0.16858087,3.82989782,0,eq,SVCH
0.007,0.005223345,1614.529152,-3.79604971,0.16192482,3.86488763,0,eq,SVCH
0.007,0.006614741,1539.440604,-3.9113126,0.15596993,3.89743226,0,eq,SVCH
0.007,0.008376776,1451.267913,-4.04395714,0.15064468,3.92760651,0,eq,SVCH
0.007,0.010608184,1362.351656,-4.1803626,0.14610474,3.95418458,0,eq,SVCH
0.007,0.013433993,1285.688249,-4.30551552,0.14203797,3.97870461,0,eq,SVCH
0.007,0.017012543,1206.943078,-4.43771429,0.13842268,4.0010992,0,eq,SVCH
0.007,0.021544347,1134.888762,-4.56505894,0.13520691,4.02151599,0,eq,SVCH
0.007,0.027283334,1066.950478,-4.69112724,0.13231014,4.04032734,0,eq,SVCH
0.007,0.034551073,1000.531528,-4.82018635,0.12968082,4.0577619,0,eq,SVCH
0.007,0.043754794,938.9727333,-4.94657619,0.12730577,4.07381705,0,eq,SVCH
0.007,0.055410203,877.5699053,-5.07881127,0.12515909,4.08858795,0,eq,SVCH
0.007,0.070170383,816.0406382,-5.21851849,0.12323625,4.1020354,0,eq,SVCH
0.007,0.088862382,760.8047708,-5.35250562,0.12151998,4.11421749,0,eq,SVCH
0.007,0.112533558,708.0797831,-5.48842115,0.1199675,4.12538543,0,eq,SVCH
0.007,0.142510267,660.5203363,-5.61943336,0.11855961,4.13563877,0,eq,SVCH
0.007,0.180472177,615.4862573,-5.75157646,0.11727747,4.14508336,0,eq,SVCH
0.007,0.228546386,576.193053,-5.87496231,0.11609676,4.15387233,0,eq,SVCH
0.007,0.289426612,539.6974181,-5.99696643,0.11498445,4.1622342,0,eq,SVCH
0.007,0.366524124,505.3027038,-6.11932641,0.11393804,4.17017495,0,eq,SVCH
0.007,0.464158883,473.0454294,-6.24140712,0.11295919,4.17766927,0,eq,SVCH
0.007,0.587801607,443.0822129,-6.36214913,0.11204455,4.18473087,0,eq,SVCH
0.007,0.744380301,416.2447152,-6.47748106,0.11117237,4.19151859,0,eq,SVCH
0.007,0.942668455,391.5109115,-6.59040484,0.11034289,4.19802363,0,eq,SVCH
0.007,1.19377664,369.5354838,-6.6971143,0.10953482,4.20440793,0,eq,SVCH
0.007,1.51177507,348.4178771,-6.80556069,0.10875397,4.21062208,0,eq,SVCH
0.007,1.91448198,334.852272,-6.88091732,0.10796089,4.21697936,0,eq,SVCH
0.007,2.42446202,319.8904365,-6.96695632,0.10713839,4.22362204,0,eq,SVCH
0.007,3.07029063,303.6379288,-7.06429049,0.10630792,4.23038103,0,eq,SVCH
0.007,3.88815518,289.0231702,-7.15675861,0.10548298,4.23714747,0,eq,SVCH
0.007,4.92388263,274.0091518,-7.25627024,0.10465565,4.24398694,0,eq,SVCH
0.007,6.23550734,257.8754759,-7.36842513,0.10384452,4.25074514,0,eq,SVCH
0.007,7.89652287,244.8525805,-7.4650153,0.10306392,4.25729898,0,eq,SVCH
0.007,10,234.0679096,-7.55003471,0.10226476,4.26406025,0,eq,SVCH
0.008,0.001,2208.653729,-2.89993239,0.24277277,3.57110446,0,eq,SVCH
0.008,0.00126638,2157.959485,-2.99610494,0.22766185,3.62692596,0,eq,SVCH
0.008,0.001603719,2099.536845,-3.09697037,0.2141424,3.68009977,0,eq,SVCH
0.008,0.002030918,2038.671129,-3.19859804,0.20204111,3.73062711,0,eq,SVCH
0.008,0.002571914,1970.352941,-3.30565999,0.19120756,3.77849483,0,eq,SVCH
0.008,0.003257021,1895.293069,-3.4178085,0.18162029,3.82317792,0,eq,SVCH
0.008,0.004124626,1824.000655,-3.52644199,0.17304375,3.86519418,0,eq,SVCH
0.008,0.005223345,1734.042397,-3.65325261,0.16545648,3.90413887,0,eq,SVCH
0.008,0.006614741,1646.781325,-3.77813369,0.158888,3.939324,0,eq,SVCH
0.008,0.008376776,1566.893555,-3.89693501,0.15306905,3.97173135,0,eq,SVCH
0.008,0.010608184,1488.693391,-4.01627255,0.14780572,4.00212355,0,eq,SVCH
0.008,0.013433993,1384.154981,-4.16948443,0.14332518,4.02886038,0,eq,SVCH
0.008,0.017012543,1307.182616,-4.29311616,0.13938014,4.05310305,0,eq,SVCH
0.008,0.021544347,1228.377347,-4.42334992,0.1358615,4.07531254,0,eq,SVCH
0.008,0.027283334,1154.042518,-4.55205995,0.1327278,4.09558087,0,eq,SVCH
0.008,0.034551073,1082.754559,-4.68144461,0.12991266,4.11420214,0,eq,SVCH
0.008,0.043754794,1015.42502,-4.81016581,0.12736801,4.13138415,0,eq,SVCH
0.008,0.055410203,952.7701379,-4.93657384,0.12507247,4.14718093,0,eq,SVCH
0.008,0.070170383,890.9345089,-5.06774299,0.12298846,4.16177597,0,eq,SVCH
0.008,0.088862382,827.725913,-5.20888216,0.12112245,4.17505552,0,eq,SVCH
0.008,0.112533558,769.7104696,-5.34706149,0.11946732,4.18700653,0,eq,SVCH
0.008,0.142510267,715.9129159,-5.4838404,0.11797551,4.19792053,0,eq,SVCH
0.008,0.180472177,668.0936683,-5.61391074,0.11662861,4.20789433,0,eq,SVCH
0.008,0.228546386,623.3587122,-5.74358249,0.115391,4.21716071,0,eq,SVCH
0.008,0.289426612,581.9406429,-5.87162349,0.11425364,4.22576437,0,eq,SVCH
0.008,0.366524124,543.6800932,-5.99785686,0.11319289,4.23386611,0,eq,SVCH
0.008,0.464158883,510.1883537,-6.11601858,0.1121922,4.24157904,0,eq,SVCH
