mass,age,temperature,luminosity,radius,gravity,metallicity
0.006,0.587801607,403.12022065,-6.5187127,0.11303368,4.11014986,0.0
0.006,0.744380301,380.87610597,-6.62378561,0.11219278,4.1166357,0.0
0.006,0.942668455,358.27458581,-6.7364559,0.11137111,4.12302046,0.0
0.006,1.19377664,341.26908889,-6.82721976,0.11056628,4.12932012,0.0
0.006,1.51177507,326.36725638,-6.91137414,0.10973168,4.13590149,0.0
0.006,1.91448198,310.16883982,-7.0065274,0.1088849,4.14263021,0.0
0.006,2.42446202,293.82697303,-7.10726628,0.10804747,4.14933626,0.0
0.006,3.07029063,278.33333413,-7.2080688,0.10721799,4.15603018,0.0
0.006,3.88815518,262.71307827,-7.31497069,0.10640655,4.16262875,0.0
0.006,4.92388263,248.10896307,-7.42076018,0.1056237,4.16904275,0.0
0.006,6.23550734,238.41880745,-7.49653436,0.10482938,4.17559948,0.0
0.006,7.89652287,228.05268483,-7.58057325,0.10401005,4.1824149,0.0
0.006,10.0,215.23914707,-7.68789976,0.10318664,4.18931857,0.0
0.007,0.001,2168.83107315,-3.00008188,0.22435514,3.58164239,0.0
0.007,0.00126638017,2117.26146857,-3.09472158,0.21111055,3.63449396,0.0
0.007,0.00160371874,2060.28691847,-3.19303591,0.19909404,3.68539726,0.0
0.007,0.00203091762,1995.01248546,-3.29691853,0.18839535,3.7333731,0.0
0.007,0.00257191381,1916.30208345,-3.41133117,0.17898908,3.77786135,0.0
0.007,0.00325702066,1845.30983109,-3.51858338,0.17060745,3.81951803,0.0
0.007,0.00412462638,1759.56614532,-3.64076131,0.16301539,3.85905684,0.0
0.007,0.00522334507,1661.66621058,-3.77607294,0.1564216,3.89492064,0.0
0.007,0.00661474064,1572.97985781,-3.90363124,0.15071789,3.92718446,0.0
0.007,0.0083767764,1486.40680183,-4.03183509,0.14562326,3.95705167,0.0
0.007,0.0106081836,1369.36290298,-4.20108659,0.14120421,3.9838181,0.0
0.007,0.0134339933,1280.08458384,-4.34137392,0.13748526,4.00700052,0.0
0.007,0.0170125428,1189.62447243,-4.4890561,0.13429976,4.02736183,0.0
0.007,0.0215443469,1105.02446336,-4.63537054,0.131524,4.04550292,0.0
0.007,0.0272833338,1030.47020016,-4.77296685,0.12908801,4.06174096,0.0
0.007,0.0345510729,961.71765702,-4.90748037,0.1269422,4.07630093,0.0
0.007,0.0437547938,898.06606814,-5.03954809,0.1250379,4.08942929,0.0
0.007,0.0554102033,836.77260552,-5.17421174,0.12334502,4.10126939,0.0
0.007,0.0701703829,779.79385388,-5.30748593,0.12182566,4.11203514,0.0
0.007,0.0888623816,727.46596091,-5.43813699,0.12043441,4.12201148,0.0
0.007,0.112533558,679.02331971,-5.56698798,0.1191716,4.13116685,0.0
0.007,0.142510267,636.14364936,-5.68876885,0.11801639,4.13962796,0.0
0.007,0.180472177,596.93267848,-5.80717328,0.11694889,4.14752032,0.0
0.007,0.228546386,563.80247453,-5.91402814,0.11592228,4.15517858,0.0
0.007,0.289426612,531.08354267,-6.02538083,0.11492189,4.16270678,0.0
0.007,0.366524124,498.51555386,-6.14269796,0.11395478,4.17004732,0.0
0.007,0.464158883,467.22694072,-6.26234821,0.11303287,4.17710291,0.0
0.007,0.587801607,438.28412068,-6.38015351,0.11216204,4.18382057,0.0
0.007,0.744380301,411.4867369,-6.49626173,0.11132454,4.19033045,0.0
0.007,0.942668455,387.51536104,-6.60679148,0.1105221,4.19661413,0.0
0.007,1.19377664,364.7656386,-6.71810337,0.10973622,4.20281232,0.0
0.007,1.51177507,344.93989063,-6.82120226,0.10897636,4.20884772,0.0
0.007,1.91448198,330.26962187,-6.90293049,0.10819723,4.21508001,0.0
0.007,2.42446202,314.1144632,-6.99646131,0.10740159,4.22149087,0.0
0.007,3.07029063,297.046225,-7.09992436,0.10661324,4.22789001,0.0
0.007,3.88815518,282.02555893,-7.19645996,0.10583333,4.23426732,0.0
0.007,4.92388263,266.75456421,-7.29951388,0.1050629,4.24061354,0.0
0.007,6.23550734,250.8379007,-7.41257779,0.10431506,4.24681823,0.0
0.007,7.89652287,241.19318525,-7.48692662,0.10357146,4.25303206,0.0
0.007,10.0,230.96958795,-7.56867681,0.10279637,4.25955667,0.0
0.008,0.001,2253.12502394,-2.89332447,0.23506934,3.59911489,0.0
0.008,0.00126638017,2210.83870027,-2.98213075,0.22042003,3.65500463,0.0
0.008,0.00160371874,2160.48247802,-3.07512862,0.20737233,3.70800401,0.0
0.008,0.00203091762,2100.05961616,-3.17561134,0.1955073,3.75918025,0.0
0.008,0.00257191381,2035.2952652,-3.27814999,0.1849681,3.80731217,0.0
0.008,0.00325702066,1959.68166196,-3.38894774,0.17562237,3.85234648,0.0
0.008,0.00412462638,1880.83319152,-3.5022244,0.16734722,3.89426863,0.0
0.008,0.00522334507,1797.95236182,-3.6203056,0.15985258,3.93406632,0.0
0.008,0.00661474064,1697.16465769,-3.75686116,0.15330419,3.97039752,0.0
0.008,0.0083767764,1600.77106502,-3.8906013,0.14772742,4.00258287,0.0
0.008,0.0106081836,1517.58106045,-4.01294457,0.14277412,4.03220644,0.0
0.008,0.0134339933,1391.51178854,-4.19057948,0.13840812,4.05918146,0.0
0.008,0.0170125428,1301.85476221,-4.32901661,0.13483298,4.08191283,0.0
0.008,0.0215443469,1209.80303921,-4.47655261,0.13173812,4.1020813,0.0
0.008,0.0272833338,1122.99736965,-4.62383925,0.12904709,4.12000803,0.0
0.008,0.0345510729,1045.12943255,-4.7646102,0.12670465,4.1359199,0.0
0.008,0.0437547938,974.47486643,-4.90043945,0.12464606,4.15014781,0.0
0.008,0.0554102033,911.10710362,-5.03007,0.12281743,4.16298487,0.0
0.008,0.0701703829,848.84037771,-5.1647097,0.12117885,4.17465075,0.0
0.008,0.0888623816,788.87029387,-5.30258089,0.11971178,4.18523092,0.0
0.008,0.112533558,735.2313022,-5.43464098,0.11837736,4.1949671,0.0
0.008,0.142510267,686.57004788,-5.56247452,0.11717515,4.20383351,0.0
0.008,0.180472177,645.10126278,-5.67897134,0.11606493,4.21210245,0.0
0.008,0.228546386,605.90647528,-5.79563248,0.11502629,4.21991013,0.0
0.008,0.289426612,570.5240713,-5.90772451,0.11403024,4.22746431,0.0
0.008,0.366524124,536.30043955,-6.02256885,0.11306578,4.23484195,0.0
0.008,0.464158883,504.17863728,-6.1370745,0.11213312,4.2420366,0.0
0.008,0.587801607,472.62498934,-6.25622656,0.11124508,4.24894271,0.0
0.008,0.744380301,442.75356792,-6.37623721,0.1104065,4.25551498,0.0
0.008,0.942668455,415.70229818,-6.49209859,0.1096011,4.26187449,0.0
0.008,1.19377664,390.5313292,-6.60673493,0.10883133,4.26799644,0.0
0.008,1.51177507,367.56372101,-6.71804044,0.10808057,4.27400901,0.0
0.008,1.91448198,346.51022858,-6.82633199,0.10735756,4.27983893,0.0
0.008,2.42446202,331.90788699,-6.90709184,0.1066219,4.28581137,0.0
0.008,3.07029063,315.56042936,-7.00097435,0.10586941,4.29196325,0.0
0.008,3.88815518,298.20181899,-7.10540079,0.1051243,4.29809799,0.0
0.008,4.92388263,283.59362204,-7.1987704,0.10438627,4.30421745,0.0
0.008,6.23550734,268.53438332,-7.2996953,0.10365205,4.31034842,0.0
0.008,7.89652287,252.69965852,-7.41128607,0.1029369,4.31636203,0.0
0.008,10.0,242.54635435,-7.48850741,0.10223104,4.3223387,0.0
