mass,age,temperature,luminosity,radius,gravity,metallicity,enrichment
0.06265430301504897,1.1702,1516.526,-4.381551,0.09336368829387175,5.294662530430865,-0.15,-0.05
0.06265430301504897,1.2443,1495.875,-4.408917,0.09298309546055225,5.298210530430865,-0.15,-0.05
0.06265430301504897,1.3333,1483.104,-4.427864,0.09255033604706304,5.302262530430865,-0.15,-0.05
0.06265430301504897,1.4401,1467.916,-4.450332,0.09206297395281263,5.306848530430865,-0.15,-0.05
0.06265430301504897,1.5682,1449.47,-4.477431,0.0915206297872634,5.311980530430865,-0.15,-0.05
0.06265430301504897,1.7219,1428.498,-4.508436,0.09092346962985007,5.317666530430865,-0.15,-0.05
0.06265430301504897,1.9064,1405.897,-4.542397,0.09027094730956724,5.323922530430865,-0.15,-0.05
0.06265430301504897,2.1278,1386.437,-4.573564,0.0895511154918292,5.330876530430865,-0.15,-0.05
0.06265430301504897,2.3935,1366.055,-4.606984,0.08876157503655804,5.338568530430865,-0.15,-0.05
0.06265430301504897,2.7123,1343.043,-4.644927,0.08790427573053472,5.346998530430865,-0.15,-0.05
0.06265430301504897,3.0948,1316.999,-4.688066,0.08698612808192421,5.356118530430865,-0.15,-0.05
0.06265430301504897,3.5539,1291.265,-4.732143,0.086010406456124,5.365916530430865,-0.15,-0.05
0.06265430301504897,4.1048,1267.366,-4.77517,0.08496968338831709,5.376490530430865,-0.15,-0.05
0.06265430301504897,4.7659,1242.057,-4.821568,0.08386601356038348,5.387846530430865,-0.15,-0.05
0.06265430301504897,5.5592,1215.534,-4.871206,0.08270199765486011,5.399986530430865,-0.15,-0.05
0.06265430301504897,6.5111,1183.792,-4.929859,0.08150288838558166,5.412672530430865,-0.15,-0.05
0.06265430301504897,7.4924,1147.391,-4.995216,0.0804677763165855,5.423774530430865,-0.15,-0.05
0.06265430301504897,8.3641,1115.18,-5.053166,0.07968562806414017,5.432258530430865,-0.15,-0.05
0.06265430301504897,8.7585,1100.042,-5.080456,0.07936079322187989,5.435806530430865,-0.15,-0.05
0.06265430301504897,8.7585,1100.042,-5.080456,0.07936079322187989,5.435806530430865,-0.15,-0.05
0.06507324293922774,0.0010096,2964.922,-1.560834,0.6283621253905325,3.6550500777363504,-0.15,-0.05
0.06507324293922774,0.0011602,2970.273,-1.592118,0.6039514106690058,3.6894660777363506,-0.15,-0.05
0.06507324293922774,0.0013278,2975.162,-1.623573,0.5805585160680918,3.7237780777363505,-0.15,-0.05
0.06507324293922774,0.0015141,2979.637,-1.65518,0.5581308136608294,3.7579980777363504,-0.15,-0.05
0.06507324293922774,0.0017212,2983.727,-1.686916,0.536632535525748,3.7921160777363503,-0.15,-0.05
0.06507324293922774,0.0019514,2987.5,-1.718715,0.5160359997798071,3.8261100777363506,-0.15,-0.05
0.06507324293922774,0.0022072,2990.95,-1.750581,0.49629968551203385,3.8599820777363503,-0.15,-0.05
0.06507324293922774,0.0024915,2994.071,-1.782515,0.47738855176751854,3.8937260777363503,-0.15,-0.05
0.06507324293922774,0.0028075,2996.901,-1.814479,0.4592709752652283,3.9273320777363505,-0.15,-0.05
0.06507324293922774,0.0031587,2999.433,-1.846463,0.44191933156787816,3.9607840777363506,-0.15,-0.05
0.06507324293922774,0.0035492,3001.535,-1.878542,0.4253006045020681,3.9940780777363503,-0.15,-0.05
0.06507324293922774,0.0039836,3008.337,-1.907969,0.409275737727664,4.027438077736351,-0.15,-0.05
0.06507324293922774,0.0044656,3015.062,-1.937386,0.3938836919546549,4.060734077736351,-0.15,-0.05
0.06507324293922774,0.0049992,3020.595,-1.967299,0.37915693160133496,4.093832077736351,-0.15,-0.05
0.06507324293922774,0.0055903,3025.056,-1.997615,0.36507239924214535,4.12671207773635,-0.15,-0.05
0.06507324293922774,0.0062459,3028.577,-2.028248,0.351602536935584,4.15936607773635,-0.15,-0.05
0.06507324293922774,0.0069742,3031.215,-2.059177,0.33871232503306997,4.191808077736351,-0.15,-0.05
0.06507324293922774,0.0077843,3033.018,-2.090397,0.3263660685979095,4.22406007773635,-0.15,-0.05
0.06507324293922774,0.0086866,3034.111,-2.121854,0.31453066995729667,4.256144077736351,-0.15,-0.05
0.06507324293922774,0.0096932,3034.388,-2.153641,0.3031726361202513,4.28809007773635,-0.15,-0.05
0.06507324293922774,0.010818,3033.915,-2.185745,0.292263109091801,4.319922077736351,-0.15,-0.05
0.06507324293922774,0.012075,3032.676,-2.218172,0.28178313720871917,4.35164007773635,-0.15,-0.05
0.06507324293922774,0.013481,3030.506,-2.251039,0.2717083592996384,4.38326407773635,-0.15,-0.05
0.06507324293922774,0.015055,3027.487,-2.284334,0.2620124933744553,4.41482607773635,-0.15,-0.05
0.06507324293922774,0.01682,3023.844,-2.317946,0.25267484036838284,4.446346077736351,-0.15,-0.05
0.06507324293922774,0.0188,3018.914,-2.352288,0.24367333093325183,4.4778540777363505,-0.15,-0.05
0.06507324293922774,0.021024,3017.053,-2.38491,0.23498059545709446,4.50940607773635,-0.15,-0.05
0.06507324293922774,0.023521,3001.92,-2.425568,0.22650145699300095,4.541328077736351,-0.15,-0.05
0.06507324293922774,0.026319,2983.865,-2.467517,0.2184419274838246,4.57279807773635,-0.15,-0.05
0.06507324293922774,0.029472,2967.245,-2.508274,0.2107700992340054,4.6038520777363505,-0.15,-0.05
0.06507324293922774,0.033068,2953.12,-2.547847,0.20331433484103476,4.6351340777363506,-0.15,-0.05
0.06507324293922774,0.037192,2938.23,-2.588138,0.19607083574200532,4.6666440777363505,-0.15,-0.05
0.06507324293922774,0.041903,2923.813,-2.628257,0.18907103430605382,4.698220077736351,-0.15,-0.05
0.06507324293922774,0.04726,2909.612,-2.667608,0.1824647599095814,4.7291120777363505,-0.15,-0.05
0.06507324293922774,0.053354,2896.238,-2.70625,0.17614081439825885,4.75975007773635,-0.15,-0.05
0.06507324293922774,0.060293,2880.333,-2.746661,0.16999533356610383,4.7905960777363505,-0.15,-0.05
0.06507324293922774,0.068197,2860.042,-2.789665,0.16408768957357386,4.8213180777363505,-0.15,-0.05
0.06507324293922774,0.077229,2836.332,-2.834678,0.1584163490206373,4.851870077736351,-0.15,-0.05
0.06507324293922774,0.087598,2811.099,-2.880651,0.15295898744247205,4.882320077736351,-0.15,-0.05
0.06507324293922774,0.099555,2782.561,-2.928706,0.1477103747591792,4.912648077736351,-0.15,-0.05
0.06507324293922774,0.1134,2750.219,-2.979182,0.1426684687443691,4.94281407773635,-0.15,-0.05
0.06507324293922774,0.12954,2713.308,-3.03261,0.1378319815948403,4.97277007773635,-0.15,-0.05
0.06507324293922774,0.14845,2673.764,-3.087912,0.13318367671289688,5.002568077736351,-0.15,-0.05
0.06507324293922774,0.17079,2639.183,-3.140584,0.1286536168276485,5.03262607773635,-0.15,-0.05
0.06507324293922774,0.19725,2597.317,-3.198581,0.124254750029991,5.062844077736351,-0.15,-0.05
0.06507324293922774,0.22867,2547.185,-3.262357,0.12004774317608628,5.09276207773635,-0.15,-0.05
0.06507324293922774,0.26624,2489.038,-3.331758,0.11606759883371083,5.12204807773635,-0.15,-0.05
0.06507324293922774,0.30645,2428.624,-3.400168,0.11268056086232871,5.1477720777363505,-0.15,-0.05
0.06507324293922774,0.34533,2373.499,-3.460923,0.11000539884854695,5.168642077736351,-0.15,-0.05
0.06507324293922774,0.39162,2313.626,-3.52601,0.10741427463106595,5.18934607773635,-0.15,-0.05
0.06507324293922774,0.44343,2252.65,-3.591701,0.10505458221952982,5.208640077736351,-0.15,-0.05
0.06507324293922774,0.49073,2200.784,-3.647238,0.10324737052986531,5.223712077736351,-0.15,-0.05
0.06507324293922774,0.53722,2154.772,-3.696851,0.10172436792511287,5.23662007773635,-0.15,-0.05
0.06507324293922774,0.59301,2103.175,-3.752268,0.100177225653009,5.24993207773635,-0.15,-0.05
0.06507324293922774,0.65995,2014.922,-3.839412,0.09872587692204263,5.26260807773635,-0.15,-0.05
0.06507324293922774,0.71403,1942.443,-3.911491,0.09777121225727536,5.27104807773635,-0.15,-0.05
0.06507324293922774,0.75751,1893.754,-3.961521,0.0971059854687453,5.27697807773635,-0.15,-0.05
0.06507324293922774,0.79742,1865.58,-3.992558,0.09654860429342939,5.28197807773635,-0.15,-0.05
0.06507324293922774,0.84531,1833.58,-4.028065,0.09594470237709955,5.28742807773635,-0.15,-0.05
0.06507324293922774,0.90277,1797.044,-4.068886,0.0952998023674095,5.29328607773635,-0.15,-0.05
0.06507324293922774,0.97173,1765.143,-4.106354,0.09460563389439199,5.29963607773635,-0.15,-0.05
0.06507324293922774,1.0545,1730.209,-4.14789,0.09386658113079953,5.30644807773635,-0.15,-0.05
0.06507324293922774,1.1538,1627.526,-4.260184,0.09321933489797003,5.31245807773635,-0.15,-0.05
0.06507324293922774,1.2612,1557.165,-4.342118,0.09266697793589294,5.3176200777363505,-0.15,-0.05
0.06507324293922774,1.3471,1528.653,-4.377951,0.09226988939125755,5.3213500777363505,-0.15,-0.05
0.06507324293922774,1.4503,1501.718,-4.412891,0.0918398149530505,5.32540807773635,-0.15,-0.05
0.06507324293922774,1.574,1485.794,-4.435988,0.09135703582717358,5.329986077736351,-0.15,-0.05
0.06507324293922774,1.7225,1467.601,-4.462511,0.09082010506966987,5.33510607773635,-0.15,-0.05
0.06507324293922774,1.9007,1446.344,-4.493518,0.09023000885739148,5.34076807773635,-0.15,-0.05
0.06507324293922774,2.1145,1423.381,-4.527539,0.08958638247429491,5.34698607773635,-0.15,-0.05
0.06507324293922774,2.3712,1398.781,-4.564616,0.0888885864724581,5.35377807773635,-0.15,-0.05
0.06507324293922774,2.6791,1378.823,-4.597133,0.08811888637385511,5.361332077736351,-0.15,-0.05
0.06507324293922774,3.0486,1356.16,-4.634247,0.08727864596150693,5.36965407773635,-0.15,-0.05
0.06507324293922774,3.492,1329.969,-4.677188,0.0863726013946837,5.37871807773635,-0.15,-0.05
0.06507324293922774,4.0241,1302.435,-4.723268,0.08540966137185162,5.38845607773635,-0.15,-0.05
0.06507324293922774,4.6626,1277.905,-4.766931,0.08437037899904692,5.39909007773635,-0.15,-0.05
0.06507324293922774,5.4288,1253.175,-4.812489,0.08325014526711577,5.41070007773635,-0.15,-0.05
0.06507324293922774,6.3483,1226.537,-4.862422,0.08205045618671745,5.42330807773635,-0.15,-0.05
0.06507324293922774,7.4517,1196.888,-4.918424,0.0807856083967039,5.43680207773635,-0.15,-0.05
0.06507324293922774,8.6079,1160.155,-4.98468,0.07966746532337966,5.44890807773635,-0.15,-0.05
0.06507324293922774,9.6515,1126.332,-5.04547,0.07881066643834772,5.45830007773635,-0.15,-0.05
0.06507324293922774,10.118,1110.215,-5.074368,0.07846120975152322,5.462160077736351,-0.15,-0.05
0.06507324293922774,10.351,1102.22,-5.088778,0.0782939131937102,5.46401407773635,-0.15,-0.05
0.06507324293922774,10.351,1102.22,-5.088778,0.0782939131937102,5.46401407773635,-0.15,-0.05
0.06776152492360495,0.0011172,2977.307,-1.555718,0.6268259968379059,3.6747567982157334,-0.15,-0.05
0.06776152492360495,0.0012785,2982.32,-1.587156,0.6025138021380554,3.7091167982157334,-0.15,-0.05
0.06776152492360495,0.0014579,2986.956,-1.61871,0.5792152663239577,3.7433707982157336,-0.15,-0.05
0.06776152492360495,0.0016575,2991.205,-1.650395,0.556881768561357,3.7775247982157336,-0.15,-0.05
0.06776152492360495,0.0018793,2995.113,-1.682181,0.5354710550947013,3.8115787982157334,-0.15,-0.05
